Name,State,latitude,Longitude,Elivation,Est. Population
Ilaparru,Andhra Pradesh,16.56,81.06,36,37349
Ilaprolu,Andhra Pradesh,16.60,80.56,26,97124
Ilaram,Andhra Pradesh,19.11,79.57,830,27604
Ilgondaguda,Andhra Pradesh,17.14,78.12,2509,26777
Iliūru Kottapeta,Andhra Pradesh,15.28,78.26,830,30371
Ilkapalli,Andhra Pradesh,19.27,79.77,830,7851
Illanthakunta,Andhra Pradesh,18.29,79.51,830,54847
Illapalle,Andhra Pradesh,17.41,81.80,400,13079
Illapalle Kottapālem,Andhra Pradesh,17.01,82.06,88,67405
Illukurupadu,Andhra Pradesh,14.07,80.09,13,32214
Illuru,Andhra Pradesh,14.93,77.62,902,19090
Illūru,Andhra Pradesh,16.87,80.37,108,53240
Ilūr,Andhra Pradesh,19.27,79.78,830,7673
Imamnagar,Andhra Pradesh,17.65,78.28,1765,30117
Imampet,Andhra Pradesh,17.09,79.65,866,57778
Imampur,Andhra Pradesh,17.79,78.48,1817,38855
Imamsahibgudem,Andhra Pradesh,17.00,79.38,830,22103
Imdapur,Andhra Pradesh,17.01,77.62,1686,26697
Immadisettipalem,Andhra Pradesh,15.89,80.47,16,98779
Immidivaram,Andhra Pradesh,17.51,81.82,915,4541
Imāmbād,Andhra Pradesh,18.14,78.85,1669,88095
Imāmgūda,Andhra Pradesh,17.43,78.44,1715,1121369
Imāmpur,Andhra Pradesh,17.45,78.23,1860,91350
Inagallu,Andhra Pradesh,16.04,80.29,32,37431
Inagaluru,Andhra Pradesh,13.84,77.04,2509,91264
Inagandla,Andhra Pradesh,15.85,77.71,1033,26537
Inagartipadu,Andhra Pradesh,16.00,80.49,22,72008
Inamadaguzammipalem,Andhra Pradesh,14.51,80.02,32,138939
Inamanamelluru,Andhra Pradesh,15.60,80.07,36,42373
Inamnagar,Andhra Pradesh,17.84,78.53,1840,35967
Inayatkhanguda,Andhra Pradesh,17.04,78.21,2037,54498
Inayatpur,Andhra Pradesh,18.09,78.53,1669,31622
Inchapalli,Andhra Pradesh,18.64,80.31,351,4486
Indalguda,Andhra Pradesh,18.16,78.77,1669,42789
Indalvai,Andhra Pradesh,18.54,78.22,1669,32190
Indanur,Andhra Pradesh,17.06,77.51,1870,24578
Indapalle,Andhra Pradesh,17.12,80.89,830,27602
Indapur,Andhra Pradesh,19.47,79.15,830,6463
Indargaon,Andhra Pradesh,19.35,79.88,830,7152
Indarweli,Andhra Pradesh,19.50,78.68,1669,19653
Indergūda,Andhra Pradesh,17.25,78.38,1833,99014
Indhani,Andhra Pradesh,19.46,79.24,862,9364
Indirampalla,Andhra Pradesh,15.36,77.67,1669,17993
Indireswaram,Andhra Pradesh,17.57,78.26,1725,57296
Indlur,Andhra Pradesh,17.06,79.42,830,28661
Indrakallu,Andhra Pradesh,16.56,78.35,1669,23046
Indrakan,Andhra Pradesh,17.52,78.15,1879,82330
Indral,Andhra Pradesh,17.39,78.87,1148,26158
Indrapalli,Andhra Pradesh,19.09,79.09,830,14492
Indrapuram,Andhra Pradesh,17.92,79.79,898,53619
Indrasham,Andhra Pradesh,17.57,78.26,1725,57296
Indugapalle,Andhra Pradesh,17.46,82.53,160,36208
Indukapet,Andhra Pradesh,14.47,80.11,16,61023
Indukurupeta,Andhra Pradesh,17.26,81.78,193,12683
Indukūru,Andhra Pradesh,17.27,81.79,269,12778
Indukūrupeta,Andhra Pradesh,14.47,80.11,16,61023
Indupalle,Andhra Pradesh,16.47,80.88,16,72767
Indupalle Khandrika,Andhra Pradesh,16.48,80.89,19,58968
Indupuram,Andhra Pradesh,18.76,83.36,830,64602
Indupuru,Andhra Pradesh,14.66,80.07,19,34015
Indur,Andhra Pradesh,17.85,77.84,1728,27530
Indurparial,Andhra Pradesh,17.92,78.56,1893,31030
Indurti,Andhra Pradesh,18.78,78.94,866,113624
Indurti,Andhra Pradesh,18.22,79.14,1003,33977
Indurti,Andhra Pradesh,18.41,79.50,830,35217
Indānpalli,Andhra Pradesh,19.15,78.94,830,14026
Indāram,Andhra Pradesh,18.82,79.53,830,52287
Indārkan,Andhra Pradesh,17.52,78.15,1879,82330
Indūrti,Andhra Pradesh,17.01,78.91,1046,21097
Ingal,Andhra Pradesh,16.91,80.47,170,32162
Ingaladahalu,Andhra Pradesh,15.59,77.14,1669,97602
Ingilapalle Agraharam,Andhra Pradesh,18.38,83.32,278,52893
Ingilipakalanka,Andhra Pradesh,16.55,81.13,49,41973
Ingipenta,Andhra Pradesh,18.67,83.80,830,13213
Ingurti,Andhra Pradesh,17.65,79.74,912,38305
Ingurti,Andhra Pradesh,17.67,79.80,1013,39842
Injeri,Andhra Pradesh,18.18,82.38,3405,11551
Inkole,Andhra Pradesh,15.83,80.19,22,36794
Inkollu,Andhra Pradesh,15.83,80.19,22,36794
Innamuru,Andhra Pradesh,17.30,81.31,830,12330
Inol,Andhra Pradesh,17.58,78.25,1702,54835
Inole,Andhra Pradesh,17.87,79.55,971,38057
Inpamla,Andhra Pradesh,17.15,79.45,830,41055
Interu,Andhra Pradesh,16.33,81.35,3,21040
Intikanne,Andhra Pradesh,17.72,79.87,830,39067
Intipalem,Andhra Pradesh,17.88,82.90,190,48233
Inugallu,Andhra Pradesh,18.52,78.77,1181,28878
Inukurti,Andhra Pradesh,14.34,79.71,118,18021
Inumella,Andhra Pradesh,16.29,79.83,383,156668
Inumetla,Andhra Pradesh,16.38,79.98,305,35637
Inām,Andhra Pradesh,19.28,79.69,830,10086
Ināmgūda,Andhra Pradesh,17.30,78.70,1669,37908
Iodhia,Andhra Pradesh,18.88,78.85,862,30314
Ipalpadu,Andhra Pradesh,17.21,81.30,396,15955
Ipalpalli,Andhra Pradesh,16.98,78.29,1919,27481
Ipalpādu,Andhra Pradesh,17.31,81.27,830,12864
Ippagūdem,Andhra Pradesh,17.77,79.38,1669,33452
Ippagūdem,Andhra Pradesh,18.45,80.50,282,4023
Ippakunta,Andhra Pradesh,16.43,78.55,1669,17541
Ippalagadda,Andhra Pradesh,17.91,80.35,830,2682
Ippalagudem,Andhra Pradesh,17.50,79.18,997,23363
Ippalagudivalasa,Andhra Pradesh,18.45,83.06,1227,20579
Ippalapalli,Andhra Pradesh,16.68,78.20,1702,22964
Ippalapalli,Andhra Pradesh,16.67,77.97,1669,53653
Ippalapalli,Andhra Pradesh,18.36,79.61,830,34745
Ippalapalli,Andhra Pradesh,16.35,79.07,1669,3498
Ippalapalli Tānda,Andhra Pradesh,16.70,78.21,1725,24831
Ippalavalasa,Andhra Pradesh,18.31,83.17,830,20556
Ippalavalasa,Andhra Pradesh,18.36,83.24,390,37699
Ippalavalasa,Andhra Pradesh,18.69,83.40,334,51461
Ippalavalasa,Andhra Pradesh,18.34,83.50,223,50509
Ippalguda,Andhra Pradesh,17.78,78.71,1906,34663
Ippalgudem,Andhra Pradesh,17.19,79.48,830,43801
Ippalpalli,Andhra Pradesh,16.98,78.29,1919,27481
Ippalpalli,Andhra Pradesh,18.47,79.52,830,26809
Ippalpalli Tanda,Andhra Pradesh,16.97,78.28,1909,27967
Ippalvalasa,Andhra Pradesh,18.93,83.49,830,20937
Ippapadu,Andhra Pradesh,16.76,78.47,1728,18549
Ippapalli,Andhra Pradesh,17.00,77.90,2004,30109
Ippapalli,Andhra Pradesh,18.67,78.68,1220,29101
Ippapudi,Andhra Pradesh,14.10,80.02,26,25297
Ipparti,Andhra Pradesh,17.15,79.03,889,24769
Ippatam,Andhra Pradesh,16.44,80.62,19,125629
Ippatūr,Andhra Pradesh,16.88,78.09,1801,25649
Ippavalasa,Andhra Pradesh,18.40,83.18,2601,30117
Ippili,Andhra Pradesh,18.25,83.96,39,49080
Ippūru,Andhra Pradesh,17.50,81.38,147,5818
Ipurupalem,Andhra Pradesh,15.85,80.39,9,166973
Ipūru,Andhra Pradesh,14.25,80.05,16,26039
Iqbālpur,Andhra Pradesh,19.07,78.60,958,12690
Iraduvalasa,Andhra Pradesh,18.68,83.20,830,41712
Iragudem,Andhra Pradesh,16.67,79.63,118,26868
Iragurajupalle,Andhra Pradesh,14.09,77.71,1669,22140
Iragāyi,Andhra Pradesh,18.37,83.06,3661,14405
Irakpalli,Andhra Pradesh,18.11,77.62,1712,22953
Irallapadu,Andhra Pradesh,16.82,80.40,141,42644
Irampalle,Andhra Pradesh,13.93,77.33,2509,36611
Irannaguderm,Andhra Pradesh,17.66,78.35,1935,47619
Irannakonda,Andhra Pradesh,15.37,77.58,1669,20464
Irannapalem,Andhra Pradesh,17.21,81.29,383,16760
Irannapalli,Andhra Pradesh,16.76,77.80,1669,32554
Iranāgāram,Andhra Pradesh,17.87,78.61,1929,34832
Irapadu,Andhra Pradesh,18.71,83.89,190,34454
Irappanahalli,Andhra Pradesh,14.64,77.13,1669,20238
Irapuram,Andhra Pradesh,16.10,77.95,859,21422
Iraram,Andhra Pradesh,16.85,77.72,1669,27553
Iravellikammagudem,Andhra Pradesh,17.50,79.01,1184,33978
Iravennu,Andhra Pradesh,17.69,79.37,1059,28137
Irdapalle,Andhra Pradesh,18.08,82.61,3366,15229
Ireddipalli,Andhra Pradesh,17.71,78.44,2034,33360
Iredupalli,Andhra Pradesh,17.71,78.44,2034,33360
Iresapuram,Andhra Pradesh,17.00,81.11,246,27022
Irgipalli,Andhra Pradesh,17.63,78.05,1669,53352
Iridi,Andhra Pradesh,19.04,83.65,849,16780
Irigenahalli,Andhra Pradesh,13.79,77.04,2509,123315
Irikepalle,Andhra Pradesh,16.61,79.72,236,37549
Irkepalli,Andhra Pradesh,19.16,79.25,1105,5215
Irkod,Andhra Pradesh,18.11,78.77,1761,52505
Irku Jira,Andhra Pradesh,18.41,82.79,4189,15242
Irkuraya,Andhra Pradesh,18.15,82.80,3349,17618
Irlabanda,Andhra Pradesh,16.27,77.59,1174,61227
Irladinne,Andhra Pradesh,15.87,77.78,948,26838
Irladinni,Andhra Pradesh,16.11,77.98,830,24089
Irlapalli,Andhra Pradesh,17.52,77.84,1935,31282
Irlapalli,Andhra Pradesh,16.98,77.61,1712,26255
Irlapalli,Andhra Pradesh,16.84,78.19,1725,29427
Irlapalli,Andhra Pradesh,18.48,78.60,1669,25167
Irlapādu,Andhra Pradesh,16.18,80.11,147,60879
Irlapādu,Andhra Pradesh,16.17,79.83,269,30476
Irlavāda,Andhra Pradesh,17.79,81.90,2509,4542
Irli,Andhra Pradesh,19.56,79.64,830,16177
Irnapalli,Andhra Pradesh,16.87,78.23,1748,26620
Irrigutta Tānda,Andhra Pradesh,17.43,78.23,1870,67931
Irripāka,Andhra Pradesh,17.25,82.09,157,75038
Irrānāpet,Andhra Pradesh,17.87,78.99,1669,27500
Irugachedu,Andhra Pradesh,16.26,77.52,1223,81076
Irugachedu Tānda,Andhra Pradesh,16.26,77.53,1669,53240
Irukaiugūdem,Andhra Pradesh,18.20,82.76,3349,16415
Irukupālem,Andhra Pradesh,16.38,80.13,216,79301
Irukuvalasa,Andhra Pradesh,18.18,82.62,3349,14947
Irumudigudem,Andhra Pradesh,17.27,81.37,830,12367
Iruvada,Andhra Pradesh,17.78,83.13,85,48779
Iruvendala,Andhra Pradesh,14.87,77.77,862,16296
Isalpet,Andhra Pradesh,18.37,78.45,1669,26728
Isampet,Andhra Pradesh,18.79,79.34,830,37592
Isamundi,Andhra Pradesh,19.48,80.40,830,4976
Isanapalli,Andhra Pradesh,18.42,78.37,1689,24696
Isannapalli,Andhra Pradesh,18.13,78.48,1669,37297
Isapalli,Andhra Pradesh,18.80,78.24,1200,70840
Isapur,Andhra Pradesh,19.51,78.40,1669,14905
Isarāpuram,Andhra Pradesh,14.11,77.59,1758,28160
Ishwareni Madhavaram,Andhra Pradesh,17.15,79.91,390,26327
Isivi,Andhra Pradesh,15.66,77.24,1669,97916
Iskagaru,Andhra Pradesh,18.12,82.83,3461,16749
Iskagundam,Andhra Pradesh,15.60,78.81,1971,8836
Iskagur,Andhra Pradesh,18.07,82.58,3349,12460
Iskalguda,Andhra Pradesh,18.25,82.82,3421,15560
Iskali,Andhra Pradesh,18.11,82.72,3349,18712
Iskapalle,Andhra Pradesh,14.74,80.10,16,29290
Iskapalli,Andhra Pradesh,14.74,80.10,16,29290
Iskapalli,Andhra Pradesh,14.74,80.07,16,35939
Iskapally,Andhra Pradesh,14.74,80.10,16,29290
Iskapālem,Andhra Pradesh,14.28,80.00,26,23012
Iskilla,Andhra Pradesh,17.30,79.17,1000,28517
Islampur,Andhra Pradesh,19.25,78.92,964,9761
Islampuram,Andhra Pradesh,18.60,78.98,1125,37149
Islāmnagar,Andhra Pradesh,19.38,78.44,1669,14844
Islāmpur,Andhra Pradesh,17.87,78.48,1715,34366
Islāmpur,Andhra Pradesh,17.72,77.78,1873,25357
Ismail Khanpet,Andhra Pradesh,17.63,78.16,1669,66553
Ismailguda,Andhra Pradesh,17.46,78.64,1669,210246
Ismailpalli,Andhra Pradesh,17.17,79.25,1023,33103
Ismailpur,Andhra Pradesh,17.91,77.81,1774,28176
Isnai,Andhra Pradesh,18.94,79.82,830,7355
Isnapuram,Andhra Pradesh,17.54,78.20,1735,77773
Israipalli,Andhra Pradesh,16.80,78.36,1774,19250
Israjiwadi,Andhra Pradesh,18.38,78.34,1669,64232
Israjpalli,Andhra Pradesh,18.82,79.05,830,39171
Israllapeta,Andhra Pradesh,18.46,83.88,91,57704
Isrampalli,Andhra Pradesh,16.52,77.88,1171,29984
Issepet,Andhra Pradesh,18.05,78.14,1669,34042
Issipet,Andhra Pradesh,18.28,79.65,830,33324
Issādivalasa,Andhra Pradesh,18.53,83.84,104,28091
Istalāpuram,Andhra Pradesh,17.28,79.70,830,31495
Isthambhampalli,Andhra Pradesh,18.43,80.15,830,6165
Istraopet,Andhra Pradesh,17.88,78.32,1669,26699
Isuka Bhavi,Andhra Pradesh,16.62,78.93,895,18644
Isukalapeta,Andhra Pradesh,18.40,83.83,59,55790
Isukamatla,Andhra Pradesh,17.52,81.83,1040,3679
Isukatripuravaram,Andhra Pradesh,16.08,79.50,354,13940
Isunuru,Andhra Pradesh,17.48,81.31,104,6144
Iswarapalletsavuduvada,Andhra Pradesh,17.63,82.82,180,39423
Iswarayi,Andhra Pradesh,18.75,83.81,1669,33762
Italapadu,Andhra Pradesh,17.36,81.80,830,18360
Italapādu,Andhra Pradesh,17.30,81.78,275,12339
Itamukkala,Andhra Pradesh,15.37,80.11,13,25311
Iteru,Andhra Pradesh,15.99,80.52,22,67368
Itikalakunta,Andhra Pradesh,17.23,81.44,830,12386
Itikalapalle,Andhra Pradesh,14.60,77.66,1167,98283
Itikarlapalle,Andhra Pradesh,18.25,83.61,167,46803
Itike,Andhra Pradesh,18.77,83.57,314,42428
Itikelapadu,Andhra Pradesh,15.98,78.00,971,10567
Itikenahalli,Andhra Pradesh,13.94,77.04,2509,90049
Itikivalasa,Andhra Pradesh,18.53,83.13,830,30578
Itikyāla,Andhra Pradesh,16.53,78.31,1669,37672
Itimivalasa,Andhra Pradesh,18.71,83.49,337,43830
Itiāla,Andhra Pradesh,19.30,79.57,830,14338
Itkala,Andhra Pradesh,16.09,77.86,997,20047
Itkala,Andhra Pradesh,18.89,79.22,830,42021
Itkalpalli,Andhra Pradesh,17.99,79.91,885,46232
Itkapalli,Andhra Pradesh,17.80,78.99,1669,26930
Itkial,Andhra Pradesh,18.92,78.78,830,19215
Itkiāl,Andhra Pradesh,17.77,78.77,1856,26403
Itkiāl,Andhra Pradesh,17.95,77.89,1771,33277
Itkiāl,Andhra Pradesh,19.23,78.62,830,13833
Itkiāl,Andhra Pradesh,19.35,79.23,830,16563
Itkiāl Tānda,Andhra Pradesh,19.23,78.63,830,13678
Itkulpahād,Andhra Pradesh,17.27,79.48,830,38995
Itlamamidipalle,Andhra Pradesh,18.51,83.31,324,45553
Itlampalle,Andhra Pradesh,14.60,77.07,1669,22271
Itlapadu,Andhra Pradesh,17.36,81.13,830,10728
Itlāpuram,Andhra Pradesh,18.35,78.96,1023,26579
Itlāpuram,Andhra Pradesh,18.23,78.86,1669,28701
Ittalwadi,Andhra Pradesh,19.50,78.32,1669,14618
Ittamanuguda,Andhra Pradesh,18.60,83.84,1669,16325
Ittamāngūda,Andhra Pradesh,18.73,83.79,1669,17845
Ittibudadapadu,Andhra Pradesh,17.70,82.35,830,9677
Ittigola,Andhra Pradesh,17.78,78.02,1669,33501
Ittikelakunta,Andhra Pradesh,16.86,81.56,78,109656
Ittikyala,Andhra Pradesh,16.45,78.34,1669,44965
Ivampalle,Andhra Pradesh,17.66,81.78,2509,2472
Ivampalle,Andhra Pradesh,17.65,81.77,2509,2447
Iynapur,Andhra Pradesh,17.91,78.88,1692,26452
Izipur,Andhra Pradesh,17.01,77.73,1738,38672
Izzaluru,Andhra Pradesh,17.62,81.56,1669,3043
Izzatnagar,Andhra Pradesh,17.47,78.38,1870,234246
Jabarguda,Andhra Pradesh,17.15,78.58,1791,28954
Jabarguda Tanda,Andhra Pradesh,17.04,78.50,2509,22072
Jabarlapudi,Andhra Pradesh,16.39,80.91,19,105934
Jabbagudem,Andhra Pradesh,18.22,80.50,285,9743
Jabbāpur,Andhra Pradesh,17.82,78.62,1961,36672
Jabra,Andhra Pradesh,18.37,82.41,1922,10684
Jada,Andhra Pradesh,18.37,83.64,216,49931
Jadalpet,Andhra Pradesh,18.37,79.74,830,22295
Jadapeta,Andhra Pradesh,18.62,83.91,114,34262
Jadavari Kottavalasa,Andhra Pradesh,18.43,83.56,324,58811
Jadcherla,Andhra Pradesh,16.77,78.14,1807,61076
Jaddangi,Andhra Pradesh,17.48,82.16,830,9092
Jaderu,Andhra Pradesh,17.48,81.95,830,7357
Jadi Jamalpur,Andhra Pradesh,18.70,77.85,1135,52440
Jadiguda,Andhra Pradesh,18.19,82.34,1899,9837
Jadigudem,Andhra Pradesh,18.22,82.58,3435,13380
Jadigūda,Andhra Pradesh,18.39,82.80,3457,14921
Jadigūda,Andhra Pradesh,18.30,82.42,2736,11181
Jadipeta,Andhra Pradesh,18.54,83.71,229,52950
Jafarguda,Andhra Pradesh,17.30,78.72,1669,37403
Jafargudem,Andhra Pradesh,17.81,79.25,1669,27364
Jafarkhan Venkatampalle,Andhra Pradesh,14.61,76.89,1669,23976
Jagaboinpalli,Andhra Pradesh,16.79,78.37,1811,18999
Jagadargūda,Andhra Pradesh,18.86,83.69,830,12591
Jagadurti,Andhra Pradesh,15.47,77.88,1220,25955
Jagalpet,Andhra Pradesh,19.13,79.88,413,7760
Jagametlapādu,Andhra Pradesh,17.43,81.86,830,11647
Jagampadu,Andhra Pradesh,18.01,82.86,416,16786
Jagampet,Andhra Pradesh,17.83,78.15,1669,29557
Jaganathapuram,Andhra Pradesh,18.54,84.24,32,40196
Jaganathpuram,Andhra Pradesh,16.93,82.23,3,368181
Jagannadhapeta,Andhra Pradesh,18.83,83.52,262,37301
Jagannadhapuram,Andhra Pradesh,18.43,80.51,288,4023
Jagannadhapuram,Andhra Pradesh,16.85,81.61,52,84064
Jagannadhapuram,Andhra Pradesh,17.42,82.63,75,46162
Jagannadhapuram,Andhra Pradesh,17.89,82.85,187,43187
Jagannadhapuram,Andhra Pradesh,17.86,82.99,154,55713
Jagannadhapuram,Andhra Pradesh,18.35,83.22,393,35778
Jagannadhapuram,Andhra Pradesh,18.65,83.44,295,49932
Jagannadhapuram,Andhra Pradesh,18.46,83.32,318,40894
Jagannadhapuram,Andhra Pradesh,18.84,83.60,830,26819
Jagannadhapuram,Andhra Pradesh,18.55,83.82,157,29162
Jagannadhapuram,Andhra Pradesh,18.65,83.94,78,34516
Jagannadhapuram,Andhra Pradesh,17.92,83.07,239,44702
Jagannadhapuram,Andhra Pradesh,17.12,81.47,206,48067
Jagannadhapuram,Andhra Pradesh,17.05,81.35,242,50149
Jagannadhapuram Agraharam,Andhra Pradesh,18.80,83.58,328,37247
Jagannadharaju Chattram,Andhra Pradesh,18.20,83.69,137,43229
Jagannath Tanda,Andhra Pradesh,17.51,79.43,928,32814
Jagannathapuram,Andhra Pradesh,17.24,80.79,830,32788
Jagannatharao Banjar,Andhra Pradesh,17.22,80.54,318,31818
Jagannathpalli,Andhra Pradesh,18.33,77.72,1669,28410
Jagannathpalli,Andhra Pradesh,17.67,79.64,944,36234
Jagannathpur,Andhra Pradesh,18.01,77.76,1706,40214
Jagannathpur,Andhra Pradesh,16.25,78.42,1669,21686
Jagannathpuram,Andhra Pradesh,19.16,78.88,830,10339
Jagannādhapeta,Andhra Pradesh,18.38,83.80,88,53683
Jagannādhapuram,Andhra Pradesh,16.93,82.23,3,368181
Jagannādhapuram,Andhra Pradesh,16.79,81.06,203,35350
Jagannādhapuram,Andhra Pradesh,16.94,81.40,236,38632
Jagannādhapuram,Andhra Pradesh,17.47,82.53,124,34794
Jagannādhapuram,Andhra Pradesh,17.85,82.77,262,43368
Jagannādhapuram,Andhra Pradesh,17.76,82.93,95,68556
Jagannādhapuram,Andhra Pradesh,17.63,82.84,193,40088
Jagannādhapuram,Andhra Pradesh,16.46,80.80,22,91694
Jagannādhapuram,Andhra Pradesh,18.79,83.42,830,79494
Jagannādhapuram,Andhra Pradesh,18.58,83.38,341,79441
Jagannādhapuram,Andhra Pradesh,18.43,83.37,295,54619
Jagannādhapuram,Andhra Pradesh,18.72,83.96,114,34884
Jagannādhapuram,Andhra Pradesh,17.32,81.23,830,13122
Jagannādhavalasa,Andhra Pradesh,18.57,83.62,236,54832
Jagannādhavalasa,Andhra Pradesh,18.37,83.65,177,49210
Jagannādhāpuram,Andhra Pradesh,17.34,82.32,265,41660
Jagannādhāpuram,Andhra Pradesh,17.46,82.44,196,27073
Jagannādhāpuram,Andhra Pradesh,17.39,82.46,383,43353
Jagannāthapuram,Andhra Pradesh,16.86,80.73,272,33600
Jagannāthapūru,Andhra Pradesh,16.84,80.53,216,25591
Jagannāyudupeta,Andhra Pradesh,18.41,83.99,39,80879
Jagantapuram,Andhra Pradesh,14.59,77.95,892,17086
Jagapatirājapuram,Andhra Pradesh,17.16,82.20,59,94746
Jagarajupalle,Andhra Pradesh,14.13,77.74,1669,22428
Jagaraopalli,Andhra Pradesh,18.46,78.95,1010,36460
Jagarlamudivāripālem,Andhra Pradesh,16.03,79.88,170,34317
Jagathakapeta,Andhra Pradesh,14.48,80.08,26,85924
Jagatipalle,Andhra Pradesh,18.73,83.79,2024,15223
Jagatpalli,Andhra Pradesh,17.36,78.76,1669,26630
Jagatpalli,Andhra Pradesh,16.39,78.03,1246,50344
Jagayapet,Andhra Pradesh,18.94,79.22,830,38219
Jagdeopet,Andhra Pradesh,18.82,79.15,830,34914
Jagdeopur,Andhra Pradesh,17.77,78.81,1755,25053
Jagerpalli,Andhra Pradesh,18.22,79.32,961,42215
Jaggadagūda,Andhra Pradesh,18.66,83.87,830,28168
Jaggaduguda,Andhra Pradesh,18.76,83.76,2509,16546
Jaggaiahgudem,Andhra Pradesh,17.80,79.55,954,40448
Jaggammagaripeta,Andhra Pradesh,17.05,82.17,39,180091
Jaggammapet,Andhra Pradesh,17.17,82.06,101,68313
Jaggammapeta,Andhra Pradesh,18.67,83.62,275,58679
Jaggampalem,Andhra Pradesh,17.30,81.86,187,20831
Jaggampeta,Andhra Pradesh,17.17,82.06,101,68313
Jaggampeta,Andhra Pradesh,17.67,82.28,1669,6747
Jaggampeta,Andhra Pradesh,17.67,82.48,377,25894
Jaggampeta,Andhra Pradesh,17.57,82.46,331,28034
Jaggampeta,Andhra Pradesh,17.31,82.35,157,47491
Jaggampeta,Andhra Pradesh,17.47,82.43,177,27739
Jaggampeta,Andhra Pradesh,17.83,82.65,830,29529
Jaggampeta,Andhra Pradesh,17.53,82.67,203,34649
Jaggampeta,Andhra Pradesh,17.72,82.71,236,40542
Jaggampākalu,Andhra Pradesh,17.84,82.48,2555,14506
Jaggannapeta,Andhra Pradesh,16.89,81.49,124,72354
Jaggannapeta,Andhra Pradesh,17.61,82.95,45,105996
Jaggannatimmāpuram,Andhra Pradesh,17.12,82.09,114,85848
Jaggannādhapuram,Andhra Pradesh,17.59,82.93,75,76430
Jaggapuram,Andhra Pradesh,16.15,80.23,95,55651
Jaggapuram,Andhra Pradesh,18.17,83.33,246,68886
Jaggapuram,Andhra Pradesh,15.80,77.45,1148,45927
Jaggarajupeta,Andhra Pradesh,18.16,83.48,144,68289
Jaggarevupeta,Andhra Pradesh,17.86,82.73,305,42366
Jaggavaram,Andhra Pradesh,17.87,80.84,177,40638
Jaggavaram,Andhra Pradesh,17.81,81.10,308,7043
Jaggavaram,Andhra Pradesh,17.59,81.23,118,14116
Jaggayyapalle,Andhra Pradesh,18.73,79.09,948,38231
Jaggayyapeta,Andhra Pradesh,16.89,80.10,147,55806
Jaggayyapeta,Andhra Pradesh,17.95,79.18,1669,27922
Jaggayyapeta,Andhra Pradesh,18.02,83.12,226,49277
Jaggayyapeta,Andhra Pradesh,18.02,83.51,72,48338
Jaggisettigudem,Andhra Pradesh,17.22,81.28,410,16048
Jaggudem,Andhra Pradesh,17.12,79.83,830,31674
Jaggunāyadupeta,Andhra Pradesh,18.63,83.35,334,63980
Jaggusastrulupeta,Andhra Pradesh,18.44,83.89,141,90923
Jaggāvaram,Andhra Pradesh,18.07,80.70,255,10177
Jaggāyapalli,Andhra Pradesh,18.30,79.44,846,51517
Jagiapet,Andhra Pradesh,19.21,79.59,830,12101
Jagiguda Tanda,Andhra Pradesh,17.09,78.32,2063,31185
Jagir Kazipet,Andhra Pradesh,17.98,79.53,1000,54511
Jagir Kuntala,Andhra Pradesh,19.29,78.47,1204,11032
Jagireddihalli,Andhra Pradesh,13.72,77.56,2509,126333
Jagkutti,Andhra Pradesh,17.95,79.58,1003,51999
Jagleput,Andhra Pradesh,18.01,82.54,3694,10730
Jagnāthpur,Andhra Pradesh,19.32,79.53,830,42557
Jagoniguda,Andhra Pradesh,17.14,78.26,1971,33066
Jagrial,Andhra Pradesh,17.97,77.88,1696,35945
Jagtial,Andhra Pradesh,18.80,78.92,889,128637
Jagupalem,Andhra Pradesh,17.72,82.38,830,9518
Jahurābād,Andhra Pradesh,17.86,78.51,1732,36040
Jahānnuma,Andhra Pradesh,17.34,78.46,1709,2222794
Jahārdhanavalasa,Andhra Pradesh,18.55,83.46,229,45968
Jainai,Andhra Pradesh,19.02,79.07,830,27437
Jainapet,Andhra Pradesh,18.95,79.15,830,29536
Jainath,Andhra Pradesh,19.74,78.64,830,27414
Jainur,Andhra Pradesh,19.37,78.91,1689,12122
Jainuvalasa,Andhra Pradesh,18.59,83.99,144,35624
Jaipur,Andhra Pradesh,17.54,79.81,846,37245
Jaipur Siwaram,Andhra Pradesh,17.75,78.47,1942,37623
Jaipuram,Andhra Pradesh,18.85,79.58,830,7459
Jairām Tānda,Andhra Pradesh,16.65,78.93,830,30418
Jaitagudem,Andhra Pradesh,19.06,79.11,830,14812
Jaitavaram,Andhra Pradesh,17.90,82.88,232,42014
Jaitpur,Andhra Pradesh,19.41,79.31,830,20324
Jaitāpur,Andhra Pradesh,18.70,77.98,1177,45888
Jaitāram,Andhra Pradesh,17.07,78.44,2509,22720
Jajapur,Andhra Pradesh,16.73,77.54,1669,47401
Jajaralli,Andhra Pradesh,19.11,79.62,830,11817
Jajarāl,Andhra Pradesh,18.73,78.45,1177,35849
Jajava,Andhra Pradesh,18.79,83.79,1213,43581
Jajigadda,Andhra Pradesh,17.70,81.98,1246,3928
Jajireddigudem,Andhra Pradesh,17.33,79.49,830,26986
Jajjuva,Andhra Pradesh,18.64,83.83,1925,18269
Jakalpalli,Andhra Pradesh,16.97,77.78,1683,33301
Jakam,Andhra Pradesh,18.15,82.41,3349,11877
Jakannapet,Andhra Pradesh,18.10,78.19,1669,33578
Jakapur,Andhra Pradesh,18.25,77.88,1669,33839
Jakkalacheruvu,Andhra Pradesh,14.16,77.45,1984,30110
