Name,State,latitude,Longitude,Elivation,Est. Population
Daria Ganj,,28.65,77.25,830,2435455
Daryā Ganj,,28.65,77.25,830,2435455
Deka Chuk,,26.72,92.90,278,30702
Dekāpāra,,26.41,91.35,141,73607
Delwara,,20.98,72.84,29,46435
Demchhog,,32.70,79.45,14268,0
Demchok,,32.70,79.45,14268,0
Dentam,,27.25,88.13,5869,12390
Deohati,,22.40,74.10,830,26858
Deparijo,,27.99,94.23,830,4368
Deparizo,,27.99,94.23,830,4368
Dhalpāl,,26.40,89.65,331,76306
Dhanoya Kalān,,31.64,74.57,830,227712
Dhanoya Khurd,,31.63,74.57,830,249354
Dhansiri,,25.82,93.62,830,7271
Dharamgarh,,19.87,82.78,830,28702
Dharaoda,,24.59,77.10,1669,17580
Dhariwal,,31.67,74.54,830,194357
Dharnaoda,,24.59,77.10,1669,17580
Dharāsma,,20.68,72.92,26,47627
Dhatakharia,,26.66,94.14,413,70085
Dhobe,,19.33,80.93,1866,3434
Dhodhar,,25.94,76.86,830,10219
Dholera,,22.25,72.20,19,9922
Dhuvaran,,22.24,72.76,59,58387
Dhuwaran,,22.24,72.76,59,58387
Dhārāsana,,20.68,72.92,26,47627
Dickchou,,27.40,88.50,3349,12685
Diemuchuoke,,32.70,79.45,14268,0
Diengsaw,,25.24,91.89,2785,15414
Dijugaon,,26.52,93.38,1669,6892
Dikchu,,27.40,88.50,3349,12685
Dipling,,27.10,95.04,321,42099
Doiangmukh,,25.80,92.94,269,7606
Dokung,,28.04,88.60,15948,6
Dolara,,20.08,73.04,830,39042
Dolma Sampa,,27.88,88.38,17627,0
Dolora,,20.08,73.04,830,39042
Domgaon,,27.07,94.56,305,24592
Dona Paula,,15.45,73.80,0,57381
Dongthung,,28.04,88.60,15948,6
Donkung,,28.04,88.60,15948,6
Donna Paulaho,,15.45,73.80,0,57381
Dosatan,,26.32,91.91,137,26911
Dualāsāl,,26.27,91.23,91,65092
Dubbin,,27.44,92.51,5029,745
Dubia Barigaon,,26.91,93.71,219,36027
Dudhpur,,24.10,92.01,164,26808
Duliāgāon,,26.89,94.55,830,30169
Dumanata,,19.50,81.13,2509,2980
Durgapur,,26.30,91.08,101,67879
Dzongri,,27.47,88.15,10908,7897
Dzulake,,25.62,93.96,5951,4168
Dzānak,,27.90,88.27,21827,0
Gagnikhat,,26.54,91.51,141,79241
Gahribāns,,27.05,88.03,9228,28892
Gai,,27.46,93.58,3556,624
Gandhāpukhuri,,26.64,92.18,291,71113
Gandopar,,25.62,90.05,301,47346
Gangahur,,23.87,76.00,1669,20391
Gangapur,,23.87,76.00,1669,20391
Gangni,,23.81,88.75,42,97775
Ganju Basti,,26.91,93.42,265,25328
Ganjām,,19.39,85.05,3,71708
Garakhet,,27.43,88.07,14360,7417
Garbada,,22.68,74.31,1135,57812
Garbyang,,30.12,80.86,10134,4365
Garbāra,,22.68,74.31,1135,57812
Garehagā Chuk,,27.19,94.16,278,51083
Gayangaon,,26.99,94.31,265,22201
Gayzing,,27.28,88.26,3349,18601
Geling,,29.15,94.98,4445,149
Gellng,,29.15,94.98,4445,149
Gengtung,,27.32,93.19,4189,2685
Geredonga,,25.91,92.93,200,32310
Geyzing,,27.28,88.26,3349,18601
Gezing,,27.28,88.26,3349,18601
Ghahigaon,,26.83,93.52,249,32481
Ghaluad,,20.08,72.73,9,25339
Ghalvad,,20.08,72.73,9,25339
Ghogha,,21.69,72.28,39,16931
Gholvad,,20.08,72.73,9,25339
Ghorāmāra,,26.59,91.49,170,94539
Gingba,,27.98,93.87,2831,894
Girdi,,27.40,83.38,285,70246
Gogha,,21.69,72.28,39,16931
Gopikot,,25.08,93.16,2936,4023
Goreswar,,26.53,91.73,160,115417
Gorāmāri,,26.35,92.29,190,49981
Goteswar,,26.53,91.73,160,115417
Gua,,22.21,85.39,1220,23841
Guchi,,27.91,93.90,2739,967
Gulur,,20.08,72.73,9,25339
Gurla,,24.65,75.57,1669,10201
Gyalshing,,27.28,88.26,3349,18601
Gyalzing,,27.28,88.26,3349,18601
Habe,,26.43,93.08,830,29853
Halbari,,25.96,91.49,830,44402
Haochong,,24.88,93.69,3730,6448
Hapagaon,,26.74,92.15,830,61266
Hapoli,,27.54,93.82,5029,2451
Harina,,23.21,92.35,410,4030
Harirāmbāri,,24.01,91.85,180,20413
Hebeng,,27.87,93.99,3349,1128
Helāigāon,,26.30,93.66,908,2980
Hema,,27.76,88.54,9580,0
Hengken,,24.29,93.87,2572,35367
Hhmen,,24.23,92.81,1669,16856
Himāigāon,,26.09,93.19,262,17043
Hindubari,,23.15,91.50,78,60459
Hmunsām,,24.08,92.79,2526,4265
Hāpheka Bepari,,26.19,93.55,2647,5112
Ibrampur,,15.71,73.94,42,17145
Inglinggāon,,26.19,93.34,2076,8474
Jagvi,,15.08,74.18,830,14191
Jaintgarh,,22.08,85.67,1125,38912
Jakchen,,27.78,88.47,11748,0
Jakthang,,27.78,88.47,11748,0
Jalangi,,25.12,88.70,55,64861
Jallo,,31.58,74.49,830,615952
Jangar Choburi,,26.68,92.68,252,10168
Jaqui,,15.08,74.18,830,14191
Jatah,,25.41,92.05,5029,10132
Jawad,,24.60,74.86,1669,23928
Jiran,,24.31,74.89,1669,32160
Joipi,,25.28,93.44,4189,3447
Jun,,24.18,93.93,5029,5161
Kadi,,25.30,93.77,5029,2533
Kaiphundai,,24.79,93.22,872,10489
Kakaman,,26.29,92.57,160,78140
Kakching Khunou,,24.40,93.90,2542,47830
Kakriatalai,,24.87,75.08,1669,12666
Kalai,,20.36,72.82,39,24968
Kalān,,31.53,74.55,830,239100
Kambāng,,27.76,93.52,4570,2016
Kamāhu,,26.56,94.78,3349,23780
Kandihang,,25.03,93.32,1669,2757
Kang-gum,,24.60,94.41,1669,2464
Kangjonggaon,,26.24,93.28,1683,9681
Kangreng,,24.45,93.11,1797,2746
Karhi,,27.03,83.00,285,87684
Karīmganj,,24.87,92.36,42,117329
Kasba Mirgoda,,21.72,87.48,39,96901
Kathiwadar Bandar,,20.97,71.56,29,19210
Kauirik,,32.09,78.68,11807,469
Kawnpur,,24.05,92.68,2096,4321
Kenze Mane,,27.80,91.75,9255,348
Keozing,,27.28,88.35,6148,14120
Keran,,34.65,73.95,5193,6407
Kerhlām,,25.02,93.18,830,7551
Keromichomi,,26.09,94.47,4189,9253
Kerāng,,28.03,88.77,16889,67
Kewzing,,27.28,88.35,6148,14120
Khaa-ring,,28.03,88.77,16889,67
Khagam,,27.51,96.18,830,10549
Khali Kachigam,,20.38,72.87,36,32797
Khalyabari,,24.16,92.27,830,18195
Khawlian,,24.00,93.13,3349,1529
Khelma,,25.53,93.31,1145,5163
Khoinoi,,24.22,93.78,3349,18515
Khowai,,24.08,91.60,45,62098
Khubung Khulen,,24.17,94.01,5029,4125
Khuiarpom,,27.19,94.01,305,35918
Khurd,,31.53,74.55,830,239100
Khārua,,26.56,91.35,180,45574
Kidzematuma,,25.77,94.24,3349,13292
Kila,,24.12,76.87,1669,8063
Kivikhu,,25.84,94.51,3526,7055
Kolhen,,24.44,93.50,2857,3576
Koliagaon,,27.04,94.24,265,49637
Koloriang,,27.91,93.36,2755,1459
Kolukheri,,24.22,76.69,1131,12029
Kongtsung Toluba,,26.71,94.71,1853,41163
Koteshvar,,23.68,68.53,16,1305
Koteshwar,,23.68,68.53,16,1305
Kottur,,18.62,80.37,298,3697
Kotturu,,18.62,80.37,298,3697
Kulailangsngun,,25.39,91.31,5029,8040
Kulhati,,26.25,91.57,114,53216
Kulingmen,,26.52,94.61,1253,23165
Kumbi,,24.43,93.81,2526,50302
Kundanpur,,22.73,74.43,1122,27278
Kundarbilgaon,,26.84,92.00,830,44231
Kuppam,,13.62,80.14,36,7550
Kuppam,,13.27,80.34,0,39050
Kuvukhu,,25.79,94.69,2601,10084
Kyosing,,27.28,88.35,6148,14120
Kāhangarh,,31.61,74.59,830,217557
Kānching,,26.65,94.72,1738,24659
Kūdeh,,26.26,94.77,5285,9405
Lachen,,27.73,88.55,9228,0
Lachung,,27.69,88.74,9228,0
Lakha Pham,,27.76,88.76,11748,0
Lakha Pharma,,27.76,88.76,11748,0
Lakhan Khuman,,24.83,94.50,4271,0
Lakhaphama,,27.76,88.76,11748,0
Lalchara,,24.07,91.60,45,57245
Lalkek,,25.43,93.28,839,3725
Lalongmi,,25.29,93.56,3392,6056
Lalpani,,24.81,93.08,104,25285
Lalunggaon,,27.46,94.55,291,24719
Lama Disa,,25.35,92.99,1788,2993
Lambodhar,,25.76,93.59,830,7609
Lamdanmai,,24.73,93.66,3349,5116
Langdiangngan,,25.28,90.99,1131,5445
Langklam,,25.45,92.74,2509,3082
Langra Basti,,26.25,93.96,305,45354
Lankavanidibba,,15.79,80.84,26,20016
Lar,,34.04,74.11,7700,9983
Lari,,34.04,74.11,7700,9983
Larmare,,25.94,91.63,1013,5628
Lawmei,,25.57,91.80,5029,65439
Lawnamosu,,22.11,92.85,830,2096
Lema,,27.65,88.72,8389,0
Lewa,,25.19,77.46,1669,14148
Lingtam,,27.25,88.71,4189,19384
Litsammi,,26.19,94.64,5029,11285
Lizatomi,,26.09,94.66,6197,15305
Long,,25.31,93.69,3349,4018
Longpai,,25.80,92.49,2509,8940
